node	label
0	Sushi Bars
1	American (New)
2	Fast Food
3	American (New)
4	American (New)
5	American (New)
6	Sushi Bars
7	Fast Food
8	American (New)
9	American (New)
10	Sushi Bars
11	American (New)
12	American (New)
13	Sushi Bars
14	American (New)
15	American (New)
16	Sushi Bars
17	Fast Food
18	Fast Food
19	American (New)
20	Sushi Bars
21	American (New)
22	Fast Food
23	American (New)
24	American (New)
25	American (New)
26	Sushi Bars
27	Fast Food
28	Fast Food
29	Sushi Bars
30	Sushi Bars
31	Fast Food
32	American (New)
33	Sushi Bars
34	Fast Food
35	Fast Food
36	American (New)
37	American (New)
38	American (New)
39	Fast Food
40	Sushi Bars
41	Fast Food
42	Fast Food
43	Sushi Bars
44	American (New)
45	Sushi Bars
46	Sushi Bars
47	Sushi Bars
48	Sushi Bars
49	Fast Food
50	Sushi Bars
51	Sushi Bars
52	American (New)
53	American (New)
54	Fast Food
55	Fast Food
56	Fast Food
57	Sushi Bars
58	American (New)
59	Sushi Bars
60	Sushi Bars
61	Fast Food
62	American (New)
63	American (New)
64	Fast Food
65	Fast Food
66	Sushi Bars
67	Fast Food
68	Sushi Bars
69	American (New)
70	Fast Food
71	American (New)
72	Fast Food
73	Sushi Bars
74	American (New)
75	Fast Food
76	Sushi Bars
77	Fast Food
78	Sushi Bars
79	Fast Food
80	American (New)
81	Fast Food
82	American (New)
83	Sushi Bars
84	Sushi Bars
85	American (New)
86	American (New)
87	Sushi Bars
88	Sushi Bars
89	American (New)
90	Sushi Bars
91	American (New)
92	Sushi Bars
93	Sushi Bars
94	American (New)
95	Fast Food
96	American (New)
97	American (New)
98	Fast Food
99	American (New)
100	American (New)
101	American (New)
102	Sushi Bars
103	Fast Food
104	Sushi Bars
105	American (New)
106	Sushi Bars
107	American (New)
108	American (New)
109	Fast Food
110	American (New)
111	Fast Food
112	American (New)
113	Fast Food
114	American (New)
115	Sushi Bars
116	Sushi Bars
117	American (New)
118	Fast Food
119	American (New)
120	Fast Food
121	Sushi Bars
122	Sushi Bars
123	Sushi Bars
124	Sushi Bars
125	Fast Food
126	American (New)
127	Sushi Bars
128	American (New)
129	Sushi Bars
130	American (New)
131	American (New)
132	Sushi Bars
133	Fast Food
134	American (New)
135	Sushi Bars
136	Sushi Bars
137	American (New)
138	Fast Food
139	Sushi Bars
140	Sushi Bars
141	Sushi Bars
142	Fast Food
143	American (New)
144	American (New)
145	Fast Food
146	Fast Food
147	Fast Food
148	Fast Food
149	Fast Food
150	Sushi Bars
151	Fast Food
152	Sushi Bars
153	Sushi Bars
154	Sushi Bars
155	Fast Food
156	Sushi Bars
157	Fast Food
158	Fast Food
159	Fast Food
160	American (New)
161	Sushi Bars
162	American (New)
163	Sushi Bars
164	American (New)
165	Fast Food
166	American (New)
167	Sushi Bars
168	Fast Food
169	Fast Food
170	Sushi Bars
171	Fast Food
172	American (New)
173	Sushi Bars
174	Fast Food
175	Sushi Bars
176	American (New)
177	American (New)
178	Fast Food
179	American (New)
180	Sushi Bars
181	American (New)
182	American (New)
183	Sushi Bars
184	American (New)
185	Sushi Bars
186	American (New)
187	Fast Food
188	Fast Food
189	Fast Food
190	American (New)
191	American (New)
192	Sushi Bars
193	Sushi Bars
194	Fast Food
195	Sushi Bars
196	Sushi Bars
197	Sushi Bars
198	Sushi Bars
199	American (New)
200	Fast Food
201	Sushi Bars
202	Fast Food
203	Fast Food
204	American (New)
205	Sushi Bars
206	Fast Food
207	American (New)
208	Sushi Bars
209	American (New)
210	Sushi Bars
211	American (New)
212	Sushi Bars
213	Sushi Bars
214	Sushi Bars
215	Sushi Bars
216	American (New)
217	American (New)
218	American (New)
219	American (New)
220	American (New)
221	Sushi Bars
222	Fast Food
223	American (New)
224	Fast Food
225	Sushi Bars
226	Fast Food
227	Fast Food
228	Sushi Bars
229	Fast Food
230	American (New)
231	American (New)
232	American (New)
233	Fast Food
234	Sushi Bars
235	American (New)
236	Fast Food
237	American (New)
238	American (New)
239	Sushi Bars
240	American (New)
241	Fast Food
242	American (New)
243	Fast Food
244	Sushi Bars
245	American (New)
246	Sushi Bars
247	American (New)
248	Fast Food
249	Fast Food
250	Sushi Bars
251	American (New)
252	Fast Food
253	Sushi Bars
254	Sushi Bars
255	American (New)
256	Fast Food
257	American (New)
258	American (New)
259	Sushi Bars
260	Fast Food
261	Sushi Bars
262	Sushi Bars
263	Sushi Bars
264	American (New)
265	American (New)
266	American (New)
267	Fast Food
268	American (New)
269	Sushi Bars
270	Sushi Bars
271	Sushi Bars
272	Fast Food
273	American (New)
274	American (New)
275	Fast Food
276	Sushi Bars
277	Sushi Bars
278	American (New)
279	American (New)
280	Sushi Bars
281	Fast Food
282	Sushi Bars
283	American (New)
284	Sushi Bars
285	American (New)
286	Fast Food
287	American (New)
288	Fast Food
289	American (New)
290	American (New)
291	Sushi Bars
292	American (New)
293	Sushi Bars
294	Sushi Bars
295	American (New)
296	Fast Food
297	Fast Food
298	American (New)
299	Sushi Bars
300	Sushi Bars
301	Fast Food
302	American (New)
303	Sushi Bars
304	Sushi Bars
305	Sushi Bars
306	Sushi Bars
307	Sushi Bars
308	Sushi Bars
309	Sushi Bars
310	Sushi Bars
311	Sushi Bars
312	American (New)
313	Fast Food
314	Sushi Bars
315	American (New)
316	Sushi Bars
317	Sushi Bars
318	Sushi Bars
319	Fast Food
320	Fast Food
321	Fast Food
322	Fast Food
323	Sushi Bars
324	Fast Food
325	Fast Food
326	Fast Food
327	Sushi Bars
328	American (New)
329	Fast Food
330	Fast Food
331	Sushi Bars
332	Fast Food
333	American (New)
334	Fast Food
335	Sushi Bars
336	American (New)
337	American (New)
338	American (New)
339	American (New)
340	Sushi Bars
341	Sushi Bars
342	American (New)
343	Fast Food
344	Sushi Bars
345	American (New)
346	American (New)
347	Fast Food
348	Sushi Bars
349	American (New)
350	American (New)
351	Sushi Bars
352	American (New)
353	Fast Food
354	Fast Food
355	Sushi Bars
356	American (New)
357	Fast Food
358	Sushi Bars
359	Fast Food
360	Fast Food
361	American (New)
362	Sushi Bars
363	American (New)
364	Sushi Bars
365	American (New)
366	American (New)
367	Fast Food
368	American (New)
369	Fast Food
370	Fast Food
371	Fast Food
372	American (New)
373	American (New)
374	Fast Food
375	American (New)
376	Sushi Bars
377	Sushi Bars
378	American (New)
379	Sushi Bars
380	Sushi Bars
381	Sushi Bars
382	Fast Food
383	American (New)
384	Fast Food
385	American (New)
386	Fast Food
387	Sushi Bars
388	American (New)
389	American (New)
390	American (New)
391	American (New)
392	Sushi Bars
393	Sushi Bars
394	American (New)
395	Fast Food
396	American (New)
397	American (New)
398	Sushi Bars
399	Fast Food
400	Fast Food
401	Fast Food
402	American (New)
403	Fast Food
404	Sushi Bars
405	American (New)
406	Sushi Bars
407	Fast Food
408	Fast Food
409	Sushi Bars
410	Fast Food
411	Fast Food
412	American (New)
413	Sushi Bars
414	Sushi Bars
415	Sushi Bars
416	Sushi Bars
417	Fast Food
418	Fast Food
419	Sushi Bars
420	Sushi Bars
421	Fast Food
422	American (New)
423	Sushi Bars
424	American (New)
425	Sushi Bars
426	Sushi Bars
427	American (New)
428	Fast Food
429	American (New)
430	American (New)
431	Sushi Bars
432	Sushi Bars
433	Fast Food
434	Fast Food
435	Fast Food
436	Fast Food
437	American (New)
438	American (New)
439	Sushi Bars
440	American (New)
441	Sushi Bars
442	American (New)
443	Sushi Bars
444	Fast Food
445	Fast Food
446	American (New)
447	Sushi Bars
448	Sushi Bars
449	American (New)
450	Sushi Bars
451	American (New)
452	Sushi Bars
453	Sushi Bars
454	Fast Food
455	Sushi Bars
456	American (New)
457	Fast Food
458	Sushi Bars
459	American (New)
460	Fast Food
461	Sushi Bars
462	Fast Food
463	Sushi Bars
464	American (New)
465	Sushi Bars
466	Sushi Bars
467	American (New)
468	American (New)
469	Sushi Bars
470	Sushi Bars
471	American (New)
472	American (New)
473	Sushi Bars
474	Sushi Bars
475	Fast Food
476	Sushi Bars
477	Fast Food
478	Sushi Bars
479	Sushi Bars
480	Fast Food
481	Sushi Bars
482	Sushi Bars
483	Sushi Bars
484	American (New)
485	American (New)
486	American (New)
487	Fast Food
488	Sushi Bars
489	American (New)
490	Sushi Bars
491	Sushi Bars
492	Sushi Bars
493	Fast Food
494	American (New)
495	Fast Food
496	Fast Food
497	American (New)
498	Fast Food
499	American (New)
500	Sushi Bars
501	Fast Food
502	American (New)
503	American (New)
504	Sushi Bars
505	Fast Food
506	Sushi Bars
507	Sushi Bars
508	Fast Food
509	Fast Food
510	Sushi Bars
511	Fast Food
512	Sushi Bars
513	Sushi Bars
514	Sushi Bars
515	Sushi Bars
516	Fast Food
517	Fast Food
518	American (New)
519	Sushi Bars
520	Fast Food
521	Sushi Bars
522	Sushi Bars
523	American (New)
524	American (New)
525	Fast Food
526	American (New)
527	Sushi Bars
528	Fast Food
529	Fast Food
530	Sushi Bars
531	Sushi Bars
532	American (New)
533	Fast Food
534	Sushi Bars
535	American (New)
536	American (New)
537	American (New)
538	American (New)
539	American (New)
540	American (New)
541	Fast Food
542	Fast Food
543	Fast Food
544	American (New)
545	Sushi Bars
546	Fast Food
547	Fast Food
548	Sushi Bars
549	Fast Food
550	Fast Food
551	American (New)
552	Fast Food
553	Fast Food
554	American (New)
555	American (New)
556	Sushi Bars
557	American (New)
558	Sushi Bars
559	Fast Food
560	American (New)
561	Fast Food
562	Sushi Bars
563	Sushi Bars
564	Sushi Bars
565	American (New)
566	American (New)
567	American (New)
568	Fast Food
569	American (New)
570	Fast Food
571	American (New)
572	Sushi Bars
573	American (New)
574	Sushi Bars
575	American (New)
576	American (New)
577	American (New)
578	Sushi Bars
579	Fast Food
580	Fast Food
581	American (New)
582	Sushi Bars
583	Sushi Bars
584	Sushi Bars
585	Fast Food
586	Sushi Bars
587	American (New)
588	American (New)
589	Fast Food
590	Sushi Bars
591	American (New)
592	American (New)
593	Fast Food
594	American (New)
595	Sushi Bars
596	American (New)
597	American (New)
598	Sushi Bars
599	Sushi Bars
600	American (New)
601	Fast Food
602	American (New)
603	Sushi Bars
604	American (New)
605	Fast Food
606	American (New)
607	American (New)
608	Fast Food
609	Sushi Bars
610	Sushi Bars
611	American (New)
612	Sushi Bars
613	Sushi Bars
614	Sushi Bars
615	Fast Food
616	Sushi Bars
617	American (New)
618	Fast Food
619	American (New)
620	Sushi Bars
621	American (New)
622	Sushi Bars
623	Fast Food
624	Sushi Bars
625	Sushi Bars
626	Fast Food
627	American (New)
628	Sushi Bars
629	American (New)
630	Sushi Bars
631	Sushi Bars
632	Sushi Bars
633	Sushi Bars
634	American (New)
635	American (New)
636	Fast Food
637	American (New)
638	Sushi Bars
639	American (New)
640	Fast Food
641	Sushi Bars
642	Sushi Bars
643	American (New)
644	Sushi Bars
645	Sushi Bars
646	Sushi Bars
647	Sushi Bars
648	Sushi Bars
649	Sushi Bars
650	American (New)
651	Sushi Bars
652	Sushi Bars
653	Sushi Bars
654	American (New)
655	American (New)
656	Fast Food
657	Sushi Bars
658	Sushi Bars
659	American (New)
660	Fast Food
661	American (New)
662	American (New)
663	Sushi Bars
664	American (New)
665	American (New)
666	American (New)
667	Fast Food
668	Sushi Bars
669	Sushi Bars
670	Sushi Bars
671	American (New)
672	Fast Food
673	American (New)
674	Sushi Bars
675	Sushi Bars
676	American (New)
677	American (New)
678	Fast Food
679	Fast Food
680	Fast Food
681	Sushi Bars
682	Fast Food
683	American (New)
684	American (New)
685	Fast Food
686	Sushi Bars
687	Sushi Bars
688	Sushi Bars
